variant,n_texts,n_empty,n_lt5_tokens,n_lt10_tokens,mean_tokens_before,mean_tokens_after,median_tokens_before,median_tokens_after
Finnish extended removal,154,0,0,0,77.32,54.28,72.0,48.0
English extended removal,154,0,0,0,126.77,89.24,115.0,73.0
