threshold,precision,recall,f1,accuracy
0.88,1.0,0.4025974025974026,0.5740740740740741,0.7012987012987013
0.89,1.0,0.3116883116883117,0.4752475247524752,0.6558441558441559
0.9,1.0,0.18181818181818182,0.3076923076923077,0.5909090909090909
0.91,1.0,0.1038961038961039,0.18823529411764706,0.551948051948052
0.92,1.0,0.06493506493506493,0.12195121951219512,0.5324675324675324
0.93,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.94,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.95,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.96,0.0,0.0,0.0,0.5
0.97,0.0,0.0,0.0,0.5
0.98,0.0,0.0,0.0,0.5
0.99,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
